,Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
76798,юр. лицо,получение средств,2010.58,наличный,Брест,БелАгропромбанк-BHSL-824,08-11-2013,23:34:15,успешно,нет,0.0
76808,юр. лицо,получение средств,3522.17,наличный,Минск,Беларусбанк-AIES-832,01-02-2004,23:03:33,успешно,нет,0.0
76816,физ. лицо,списание средств,2625.01,безналичный,Гомель,МаксБанк-UFMQ-037,24-11-2022,23:10:48,успешно,да,216.2
76822,физ. лицо,списание средств,3946.91,наличный,Минск,Приорбанк-ZTJI-517,22-05-2004,23:36:05,успешно,да,276.29
76875,юр. лицо,списание средств,1260.05,безналичный,Витебск,Беларусбанк-CWEU-958,14-06-2014,23:13:35,успешно,нет,0.0
76897,физ. лицо,списание средств,1343.58,наличный,Могилев,БелАгропромбанк-DQKK-439,26-03-2024,23:04:19,неправильный ввод пин-кода,да,118.61
76921,юр. лицо,списание средств,2170.93,наличный,Брест,Белинвестбанк-VWCA-308,21-10-2020,23:03:50,недостаточно средств,нет,0.0
76964,юр. лицо,получение средств,3885.65,наличный,Гомель,МаксБанк-TKKH-296,09-10-2013,23:13:04,успешно,нет,0.0
76974,юр. лицо,получение средств,573.7,безналичный,Могилев,Приорбанк-PPVL-727,08-05-2005,23:45:00,успешно,нет,0.0
76986,юр. лицо,списание средств,1792.85,наличный,Могилев,МаксБанк-TATJ-116,30-10-2023,23:02:59,недостаточно средств,нет,0.0
77051,юр. лицо,получение средств,1726.65,безналичный,Витебск,МаксБанк-BOFI-985,02-03-2007,23:08:26,успешно,нет,0.0
77148,юр. лицо,списание средств,3817.67,наличный,Витебск,Белинвестбанк-VNDK-709,15-03-2023,23:30:17,неправильный ввод пин-кода,да,270.43
77243,юр. лицо,списание средств,1371.12,наличный,Могилев,Беларусбанк-ZVUW-911,19-04-2017,23:53:37,успешно,да,126.55
77427,физ. лицо,получение средств,1756.06,безналичный,Брест,МаксБанк-JTPK-726,14-09-2016,23:29:42,успешно,нет,0.0
77428,физ. лицо,получение средств,1070.65,безналичный,Витебск,МаксБанк-GKNN-410,06-01-2017,23:32:04,успешно,нет,0.0
77530,физ. лицо,получение средств,211.07,безналичный,Могилев,МаксБанк-MSFD-001,22-01-2023,23:05:53,успешно,нет,0.0
77534,физ. лицо,списание средств,1850.45,наличный,Гродно,БелАгропромбанк-FCIM-396,02-07-2008,23:47:24,успешно,да,116.39
77569,физ. лицо,получение средств,2223.04,наличный,Могилев,Приорбанк-MLCC-206,22-12-2004,23:18:38,успешно,нет,0.0
77595,юр. лицо,списание средств,873.75,наличный,Минск,Беларусбанк-ADUO-572,04-05-2016,23:13:36,успешно,да,65.3
77643,юр. лицо,списание средств,2677.62,безналичный,Брест,МаксБанк-EJKW-204,14-10-2004,23:34:21,недостаточно средств,нет,0.0
77661,физ. лицо,списание средств,2125.93,безналичный,Могилев,Приорбанк-FQQE-953,24-06-2008,23:40:23,неправильный ввод пин-кода,да,105.85
77685,физ. лицо,списание средств,318.19,безналичный,Брест,Беларусбанк-RGIY-923,30-10-2004,23:17:28,недостаточно средств,да,22.79
77694,физ. лицо,получение средств,1067.5,безналичный,Минск,МаксБанк-ITRD-653,16-11-2005,23:08:18,успешно,нет,0.0
77798,юр. лицо,получение средств,3957.63,наличный,Могилев,Белинвестбанк-PSBL-760,10-08-2010,23:40:11,успешно,нет,0.0
77799,юр. лицо,списание средств,4138.75,наличный,Витебск,МаксБанк-JTPG-774,06-02-2010,23:29:08,недостаточно средств,да,275.07
77802,физ. лицо,списание средств,154.51,безналичный,Минск,БелАгропромбанк-ZEID-772,16-02-2022,23:27:20,неправильный ввод пин-кода,да,6.08
77826,юр. лицо,списание средств,418.66,наличный,Брест,Приорбанк-ECJQ-608,27-02-2024,23:11:52,неправильный ввод пин-кода,да,35.24
77841,физ. лицо,списание средств,1983.32,наличный,Гомель,Беларусбанк-CAUK-850,29-02-2016,23:46:11,недостаточно средств,да,37.38
77912,юр. лицо,получение средств,4585.83,наличный,Могилев,Приорбанк-IJQR-780,30-01-2023,23:50:03,успешно,нет,0.0
77919,юр. лицо,списание средств,1506.9,наличный,Гродно,БелАгропромбанк-SAEL-225,20-06-2022,23:18:16,недостаточно средств,да,101.71
77928,физ. лицо,списание средств,4627.09,наличный,Гродно,Приорбанк-PQRQ-553,08-08-2018,23:11:36,успешно,нет,0.0
77944,физ. лицо,получение средств,4113.54,безналичный,Минск,Белинвестбанк-UBPU-581,08-06-2012,23:11:59,успешно,нет,0.0
78112,физ. лицо,списание средств,3333.72,безналичный,Брест,Приорбанк-CPWV-773,04-11-2016,23:30:04,недостаточно средств,нет,0.0
78197,физ. лицо,получение средств,216.31,наличный,Гродно,Приорбанк-NLVN-036,26-07-2000,23:39:07,успешно,нет,0.0
78260,юр. лицо,получение средств,1264.44,безналичный,Гомель,БелАгропромбанк-DZPV-454,17-09-2009,23:09:35,успешно,нет,0.0
78279,физ. лицо,списание средств,1386.79,безналичный,Гомель,Беларусбанк-RYKZ-409,20-04-2014,23:24:35,недостаточно средств,да,51.62
78280,физ. лицо,списание средств,4313.58,наличный,Могилев,Беларусбанк-OIUP-753,10-12-2022,23:28:21,недостаточно средств,да,245.59
78282,юр. лицо,получение средств,3244.83,наличный,Гродно,Приорбанк-LFQI-019,01-12-2009,23:49:36,успешно,нет,0.0
78330,физ. лицо,получение средств,4160.14,наличный,Могилев,Беларусбанк-UBBR-764,05-09-2001,23:39:11,успешно,нет,0.0
78368,юр. лицо,получение средств,1961.06,безналичный,Брест,Белинвестбанк-NXII-846,02-04-2002,23:11:47,успешно,нет,0.0
78388,физ. лицо,списание средств,1646.88,безналичный,Могилев,Белинвестбанк-LALB-558,20-08-2023,23:01:11,неправильный ввод пин-кода,нет,0.0
78445,физ. лицо,списание средств,4721.96,безналичный,Могилев,Беларусбанк-CSRQ-892,16-02-2010,23:26:31,успешно,да,276.89
78533,юр. лицо,получение средств,3275.12,безналичный,Брест,БелАгропромбанк-OSCN-607,19-11-2008,23:55:11,успешно,нет,0.0
78567,физ. лицо,получение средств,3408.25,безналичный,Брест,МаксБанк-MTKV-646,19-08-2015,23:08:39,успешно,нет,0.0
78634,физ. лицо,получение средств,1508.9,наличный,Могилев,Беларусбанк-AFXD-046,03-02-2014,23:19:10,успешно,нет,0.0
78635,юр. лицо,списание средств,287.07,безналичный,Могилев,Приорбанк-NLVW-403,11-11-2020,23:42:37,успешно,нет,0.0
78651,физ. лицо,списание средств,1955.15,безналичный,Минск,Приорбанк-MEHN-804,01-04-2020,23:01:52,успешно,да,190.18
78757,физ. лицо,списание средств,3425.6,наличный,Могилев,БелАгропромбанк-QGNY-802,09-09-2012,23:22:44,успешно,нет,0.0
78765,физ. лицо,получение средств,1160.52,безналичный,Минск,Белинвестбанк-LWXQ-597,02-07-2002,23:07:25,успешно,нет,0.0
78844,юр. лицо,списание средств,790.88,наличный,Гомель,Белинвестбанк-KQCF-228,25-01-2013,23:42:03,недостаточно средств,да,64.64
78847,физ. лицо,списание средств,4257.27,наличный,Витебск,МаксБанк-WVBG-438,10-11-2000,23:20:54,неправильный ввод пин-кода,да,248.73
78868,физ. лицо,списание средств,2794.58,безналичный,Витебск,БелАгропромбанк-YABD-227,10-09-2008,23:47:17,успешно,да,264.83
78998,юр. лицо,получение средств,3951.34,наличный,Могилев,Приорбанк-ZCUF-037,13-03-2021,23:12:39,успешно,нет,0.0
79074,юр. лицо,получение средств,1860.97,наличный,Брест,Белинвестбанк-BIKT-685,12-12-2011,23:23:17,успешно,нет,0.0
79105,юр. лицо,получение средств,3572.56,наличный,Могилев,Приорбанк-CMXM-926,03-06-2017,23:09:47,успешно,нет,0.0
79227,юр. лицо,получение средств,3221.55,наличный,Брест,МаксБанк-PDPW-679,24-10-2002,23:59:40,успешно,нет,0.0
79255,юр. лицо,получение средств,3454.47,безналичный,Минск,Приорбанк-TJOS-865,20-05-2009,23:37:49,успешно,нет,0.0
79262,юр. лицо,списание средств,4638.01,наличный,Гродно,Приорбанк-WRVZ-382,22-12-2017,23:53:29,недостаточно средств,да,216.0
79270,юр. лицо,получение средств,1059.19,наличный,Брест,БелАгропромбанк-HNUM-945,09-12-2013,23:00:40,успешно,нет,0.0
79290,физ. лицо,получение средств,2863.79,безналичный,Брест,Приорбанк-PVRZ-759,26-06-2003,23:15:47,успешно,нет,0.0
79297,физ. лицо,получение средств,4137.27,безналичный,Брест,Приорбанк-IQXI-220,17-07-2001,23:20:03,успешно,нет,0.0
79313,физ. лицо,списание средств,2937.82,наличный,Минск,Приорбанк-UAER-505,24-05-2024,23:39:16,неправильный ввод пин-кода,да,145.84
79343,физ. лицо,получение средств,3586.3,наличный,Гомель,Беларусбанк-KQUG-934,03-06-2008,23:22:24,успешно,нет,0.0
79347,юр. лицо,списание средств,2812.17,наличный,Могилев,МаксБанк-LUHY-163,07-10-2011,23:25:46,неправильный ввод пин-кода,да,52.07
79369,физ. лицо,списание средств,4398.87,безналичный,Витебск,Белинвестбанк-MYBD-694,30-01-2011,23:07:07,недостаточно средств,да,398.49
79496,физ. лицо,списание средств,2638.07,безналичный,Витебск,Белинвестбанк-GTKJ-755,24-08-2001,23:06:39,недостаточно средств,да,210.45
79521,физ. лицо,списание средств,2575.37,безналичный,Витебск,Приорбанк-MKEI-790,11-03-2020,23:52:57,успешно,нет,0.0
79534,физ. лицо,получение средств,4997.16,наличный,Минск,Беларусбанк-NTPG-649,18-03-2016,23:33:57,успешно,нет,0.0
79535,юр. лицо,списание средств,919.63,безналичный,Брест,Белинвестбанк-PHFL-393,13-09-2001,23:14:04,недостаточно средств,да,29.42
79554,физ. лицо,получение средств,705.49,безналичный,Витебск,Приорбанк-UOVR-400,19-11-2008,23:11:00,успешно,нет,0.0
79671,юр. лицо,списание средств,2093.45,наличный,Гродно,МаксБанк-JKIK-518,27-10-2019,23:32:41,недостаточно средств,нет,0.0
79699,юр. лицо,получение средств,2904.49,безналичный,Брест,Приорбанк-XATI-951,01-03-2001,23:15:59,успешно,нет,0.0
79783,физ. лицо,получение средств,2001.12,безналичный,Брест,МаксБанк-PHNU-697,29-02-2000,23:03:18,успешно,нет,0.0
79795,юр. лицо,списание средств,4317.06,наличный,Гродно,Приорбанк-DCHL-007,30-10-2014,23:42:39,успешно,нет,0.0
79815,юр. лицо,списание средств,1714.06,наличный,Брест,БелАгропромбанк-KAXP-124,08-08-2023,23:28:52,недостаточно средств,нет,0.0
79936,юр. лицо,списание средств,519.71,безналичный,Минск,Беларусбанк-GVKO-223,22-05-2024,23:16:35,успешно,нет,0.0
79986,юр. лицо,списание средств,1607.26,безналичный,Брест,Белинвестбанк-XFID-395,03-07-2013,23:31:50,успешно,да,25.45
80053,юр. лицо,списание средств,1439.56,безналичный,Гомель,Беларусбанк-WVQC-467,11-07-2007,23:58:58,неправильный ввод пин-кода,нет,0.0
80096,юр. лицо,списание средств,3668.64,наличный,Витебск,Белинвестбанк-KTNX-409,02-04-2016,23:34:11,недостаточно средств,нет,0.0
80117,юр. лицо,получение средств,2982.57,безналичный,Гродно,Приорбанк-MKHL-194,23-01-2000,23:40:06,успешно,нет,0.0
80285,физ. лицо,получение средств,4652.42,безналичный,Гомель,Беларусбанк-LENU-146,19-10-2012,23:43:24,успешно,нет,0.0
80350,физ. лицо,списание средств,1404.12,наличный,Брест,БелАгропромбанк-ZREQ-450,13-06-2009,23:34:54,недостаточно средств,нет,0.0
80356,физ. лицо,получение средств,3265.28,наличный,Гомель,МаксБанк-AZKU-344,21-07-2022,23:37:49,успешно,нет,0.0
80357,юр. лицо,получение средств,3237.96,безналичный,Гродно,БелАгропромбанк-GTFR-137,01-07-2022,23:15:53,успешно,нет,0.0
80403,физ. лицо,списание средств,1707.09,наличный,Брест,МаксБанк-GQVK-332,26-06-2023,23:18:37,недостаточно средств,нет,0.0
80427,физ. лицо,получение средств,2572.92,безналичный,Брест,Белинвестбанк-MHPN-334,17-04-2009,23:46:16,успешно,нет,0.0
80460,физ. лицо,списание средств,1446.48,наличный,Могилев,Белинвестбанк-STJX-471,29-06-2018,23:01:15,неправильный ввод пин-кода,да,39.14
80474,юр. лицо,списание средств,3854.84,наличный,Витебск,Беларусбанк-MGLA-917,28-09-2006,23:18:41,недостаточно средств,нет,0.0
80485,физ. лицо,списание средств,4438.8,наличный,Могилев,Белинвестбанк-TMHM-943,24-04-2003,23:18:16,недостаточно средств,нет,0.0
80494,физ. лицо,получение средств,3914.36,безналичный,Гомель,МаксБанк-GOUO-439,22-02-2002,23:43:25,успешно,нет,0.0
80500,юр. лицо,получение средств,4161.53,наличный,Гомель,Приорбанк-AVIC-604,26-05-2018,23:59:39,успешно,нет,0.0
80557,физ. лицо,получение средств,2417.85,наличный,Могилев,Белинвестбанк-FJJW-206,05-12-2018,23:38:52,успешно,нет,0.0
80690,физ. лицо,списание средств,3497.42,безналичный,Могилев,БелАгропромбанк-PICQ-315,30-07-2001,23:30:01,успешно,да,210.43
80858,физ. лицо,списание средств,2687.55,безналичный,Брест,Беларусбанк-VOVN-150,18-09-2010,23:54:15,неправильный ввод пин-кода,нет,0.0
80859,юр. лицо,получение средств,1968.34,наличный,Гомель,МаксБанк-TXZB-509,20-09-2005,23:03:07,успешно,нет,0.0
80871,юр. лицо,списание средств,4980.41,безналичный,Гродно,БелАгропромбанк-BNPY-769,14-03-2012,23:34:27,неправильный ввод пин-кода,да,272.5
80900,юр. лицо,получение средств,4769.97,безналичный,Гродно,Приорбанк-WXYS-396,19-06-2004,23:31:15,успешно,нет,0.0
80940,физ. лицо,получение средств,3126.14,безналичный,Гомель,Приорбанк-XNIV-663,18-08-2020,23:33:35,успешно,нет,0.0
80995,юр. лицо,получение средств,1799.91,наличный,Минск,БелАгропромбанк-SDTL-892,29-09-2008,23:34:44,успешно,нет,0.0
81030,физ. лицо,получение средств,471.45,наличный,Брест,БелАгропромбанк-MHPG-402,11-02-2002,23:43:50,успешно,нет,0.0
81138,юр. лицо,списание средств,952.07,наличный,Гомель,Беларусбанк-BTNI-480,23-10-2008,23:16:00,недостаточно средств,нет,0.0
81149,физ. лицо,списание средств,245.21,безналичный,Гродно,МаксБанк-DBDP-941,22-11-2007,23:06:59,недостаточно средств,нет,0.0
81235,физ. лицо,получение средств,2504.37,наличный,Гродно,Приорбанк-NJUE-016,19-10-2024,23:00:54,успешно,нет,0.0
81262,юр. лицо,получение средств,3254.79,безналичный,Витебск,БелАгропромбанк-CCKT-777,21-12-2007,23:48:31,успешно,нет,0.0
81263,юр. лицо,получение средств,2598.74,безналичный,Гродно,Беларусбанк-HJZB-887,21-10-2020,23:55:23,успешно,нет,0.0
81326,юр. лицо,получение средств,2669.47,наличный,Брест,Приорбанк-PWHK-124,15-02-2003,23:31:58,успешно,нет,0.0
81486,физ. лицо,получение средств,1252.05,наличный,Гродно,БелАгропромбанк-QAJN-594,28-05-2010,23:29:37,успешно,нет,0.0
81568,юр. лицо,получение средств,4853.77,безналичный,Гродно,Приорбанк-UNCO-216,29-10-2020,23:24:57,успешно,нет,0.0
81587,физ. лицо,получение средств,90.84,безналичный,Гродно,Беларусбанк-LMYA-149,01-03-2011,23:30:45,успешно,нет,0.0
81644,физ. лицо,списание средств,1687.56,наличный,Витебск,Приорбанк-NSBZ-442,04-08-2018,23:38:29,неправильный ввод пин-кода,да,56.28
81723,юр. лицо,списание средств,3105.89,безналичный,Могилев,МаксБанк-TVQC-849,30-06-2012,23:41:50,успешно,да,134.29
81730,юр. лицо,получение средств,2962.45,наличный,Гродно,Белинвестбанк-TIPC-229,08-06-2019,23:16:46,успешно,нет,0.0
81743,юр. лицо,списание средств,4600.37,безналичный,Могилев,Белинвестбанк-TARG-258,16-08-2021,23:16:09,неправильный ввод пин-кода,нет,0.0
81833,юр. лицо,получение средств,4293.02,безналичный,Минск,БелАгропромбанк-JFCF-569,18-04-2001,23:51:18,успешно,нет,0.0
81877,юр. лицо,списание средств,1040.0,безналичный,Гомель,Беларусбанк-OAKX-445,27-06-2005,23:09:07,неправильный ввод пин-кода,да,72.06
81899,юр. лицо,списание средств,1171.61,безналичный,Гомель,Беларусбанк-DVVB-348,14-08-2022,23:05:35,неправильный ввод пин-кода,да,79.1
81923,физ. лицо,получение средств,20.44,наличный,Гродно,Приорбанк-OUEW-324,07-11-2020,23:11:08,успешно,нет,0.0
82023,физ. лицо,списание средств,1768.44,безналичный,Минск,Приорбанк-MYON-576,23-05-2009,23:46:47,успешно,нет,0.0
82029,юр. лицо,получение средств,2227.92,наличный,Могилев,Беларусбанк-TZDC-237,28-05-2003,23:27:34,успешно,нет,0.0
82069,физ. лицо,списание средств,3027.36,безналичный,Гомель,БелАгропромбанк-XTJS-625,26-12-2016,23:09:09,неправильный ввод пин-кода,да,119.0
82116,физ. лицо,списание средств,2368.82,наличный,Витебск,Беларусбанк-WXNN-297,14-07-2007,23:58:31,успешно,нет,0.0
82139,физ. лицо,списание средств,4428.44,наличный,Брест,Белинвестбанк-AHCL-497,07-08-2019,23:22:00,недостаточно средств,да,433.56
82183,физ. лицо,получение средств,347.24,безналичный,Могилев,Приорбанк-NFAV-301,17-02-2003,23:23:41,успешно,нет,0.0
82193,физ. лицо,получение средств,2769.9,безналичный,Витебск,БелАгропромбанк-QTHT-332,08-05-2014,23:38:37,успешно,нет,0.0
82257,физ. лицо,списание средств,2668.99,безналичный,Могилев,Приорбанк-MAVP-894,28-09-2016,23:09:02,успешно,да,210.96
82288,юр. лицо,списание средств,2420.2,безналичный,Витебск,Приорбанк-UTAD-903,06-11-2020,23:28:12,успешно,нет,0.0
82370,физ. лицо,получение средств,304.52,безналичный,Гомель,Приорбанк-GMMI-275,28-02-2002,23:58:29,успешно,нет,0.0
82491,физ. лицо,получение средств,692.08,наличный,Могилев,МаксБанк-SZHO-069,20-12-2004,23:28:43,успешно,нет,0.0
82547,юр. лицо,списание средств,1379.51,безналичный,Витебск,МаксБанк-YRSL-498,01-08-2003,23:52:59,успешно,нет,0.0
82676,физ. лицо,получение средств,3424.13,наличный,Брест,БелАгропромбанк-GZVY-554,03-11-2000,23:03:40,успешно,нет,0.0
82726,физ. лицо,списание средств,3629.73,наличный,Гродно,Приорбанк-GWLC-418,03-09-2003,23:43:01,успешно,да,169.3
82764,юр. лицо,списание средств,4818.63,безналичный,Витебск,Приорбанк-ZAIU-439,07-11-2010,23:49:24,успешно,да,279.0
82786,физ. лицо,списание средств,4192.18,безналичный,Гомель,БелАгропромбанк-WRQF-800,19-12-2005,23:14:30,неправильный ввод пин-кода,да,246.91
82890,юр. лицо,получение средств,1692.28,безналичный,Минск,Приорбанк-AKRJ-831,11-01-2010,23:46:35,успешно,нет,0.0
82904,физ. лицо,получение средств,3394.38,наличный,Гродно,МаксБанк-FEJJ-218,10-08-2012,23:21:33,успешно,нет,0.0
82909,физ. лицо,списание средств,3750.31,наличный,Брест,БелАгропромбанк-CEMW-622,28-11-2007,23:13:08,недостаточно средств,да,142.81
82933,физ. лицо,получение средств,3716.95,наличный,Могилев,БелАгропромбанк-QGFI-836,17-12-2013,23:30:31,успешно,нет,0.0
82941,юр. лицо,получение средств,3573.2,безналичный,Минск,Белинвестбанк-XBBZ-294,09-06-2004,23:23:22,успешно,нет,0.0
82964,юр. лицо,получение средств,1952.01,наличный,Витебск,Белинвестбанк-JZCO-674,29-03-2022,23:05:58,успешно,нет,0.0
83004,физ. лицо,списание средств,878.45,безналичный,Гомель,БелАгропромбанк-MCBE-110,15-01-2016,23:45:44,недостаточно средств,да,83.05
83009,физ. лицо,получение средств,4509.1,наличный,Минск,Приорбанк-WXGI-804,09-10-2010,23:19:44,успешно,нет,0.0
83014,юр. лицо,списание средств,1461.64,наличный,Гродно,Приорбанк-EPAD-424,06-10-2005,23:17:51,успешно,да,71.17
83101,юр. лицо,получение средств,4040.69,наличный,Минск,БелАгропромбанк-OJDN-122,10-08-2005,23:42:25,успешно,нет,0.0
83103,физ. лицо,получение средств,4073.02,безналичный,Могилев,МаксБанк-RLBE-745,17-09-2000,23:50:18,успешно,нет,0.0
83119,физ. лицо,списание средств,2355.52,безналичный,Гомель,МаксБанк-PRHX-726,15-09-2000,23:23:55,недостаточно средств,нет,0.0
83195,юр. лицо,получение средств,1594.81,безналичный,Витебск,Приорбанк-ZNXW-002,16-03-2003,23:24:27,успешно,нет,0.0
83216,юр. лицо,списание средств,2351.25,наличный,Минск,БелАгропромбанк-XSKY-165,11-09-2004,23:30:25,неправильный ввод пин-кода,нет,0.0
83228,физ. лицо,получение средств,1873.62,безналичный,Брест,Приорбанк-QNCZ-900,28-10-2004,23:26:56,успешно,нет,0.0
83283,физ. лицо,списание средств,142.91,безналичный,Витебск,МаксБанк-BLPS-417,18-06-2001,23:00:49,неправильный ввод пин-кода,нет,0.0
83353,физ. лицо,списание средств,3739.32,наличный,Гродно,МаксБанк-BFSO-997,30-03-2013,23:49:23,успешно,да,359.86
83396,юр. лицо,получение средств,2613.75,наличный,Брест,МаксБанк-ZKTI-509,19-05-2004,23:30:34,успешно,нет,0.0
83441,физ. лицо,списание средств,2555.07,безналичный,Минск,Беларусбанк-WFGR-779,18-03-2003,23:57:31,недостаточно средств,нет,0.0
83590,физ. лицо,списание средств,4342.33,безналичный,Витебск,Беларусбанк-NONU-719,21-02-2021,23:20:41,недостаточно средств,нет,0.0
83686,юр. лицо,получение средств,1094.87,наличный,Могилев,Приорбанк-YFXN-444,22-08-2008,23:56:18,успешно,нет,0.0
83719,физ. лицо,списание средств,3096.14,безналичный,Гродно,Беларусбанк-KDRW-707,05-08-2015,23:53:13,успешно,нет,0.0
83747,физ. лицо,списание средств,3235.12,безналичный,Витебск,Беларусбанк-IZRV-665,25-11-2012,23:58:40,успешно,нет,0.0
83788,юр. лицо,списание средств,1193.86,наличный,Могилев,Приорбанк-SURV-854,05-11-2000,23:36:52,недостаточно средств,нет,0.0
83792,юр. лицо,получение средств,3909.85,безналичный,Минск,Белинвестбанк-BYRH-005,25-10-2015,23:54:13,успешно,нет,0.0
83815,юр. лицо,получение средств,1407.68,безналичный,Могилев,МаксБанк-JKPM-048,25-02-2008,23:47:43,успешно,нет,0.0
83825,физ. лицо,получение средств,844.4,наличный,Минск,Приорбанк-VGUC-331,17-07-2022,23:03:25,успешно,нет,0.0
83837,юр. лицо,получение средств,3027.78,наличный,Брест,БелАгропромбанк-ITFK-828,01-01-2018,23:23:13,успешно,нет,0.0
83876,юр. лицо,получение средств,3203.44,безналичный,Гомель,Белинвестбанк-TAFG-681,28-04-2005,23:58:51,успешно,нет,0.0
83903,юр. лицо,получение средств,1605.08,безналичный,Могилев,Белинвестбанк-ZTSJ-129,16-04-2006,23:03:34,успешно,нет,0.0
83913,юр. лицо,списание средств,2325.07,наличный,Гродно,Белинвестбанк-JOMO-594,05-04-2023,23:19:24,неправильный ввод пин-кода,нет,0.0
83963,юр. лицо,списание средств,855.56,безналичный,Могилев,МаксБанк-RVDG-670,04-10-2010,23:55:54,недостаточно средств,да,83.4
83966,юр. лицо,получение средств,1945.85,наличный,Витебск,БелАгропромбанк-BHJF-238,22-12-2003,23:31:32,успешно,нет,0.0
84045,физ. лицо,списание средств,4161.36,безналичный,Гродно,Белинвестбанк-WVRG-428,17-11-2001,23:49:12,недостаточно средств,да,95.71
84056,юр. лицо,списание средств,2493.16,безналичный,Гомель,МаксБанк-GDKL-371,12-07-2006,23:32:03,неправильный ввод пин-кода,нет,0.0
84076,юр. лицо,получение средств,2513.84,безналичный,Гомель,Белинвестбанк-LCMF-422,09-09-2001,23:37:04,успешно,нет,0.0
84166,юр. лицо,получение средств,123.23,наличный,Могилев,МаксБанк-BUMA-996,12-04-2020,23:48:26,успешно,нет,0.0
84198,физ. лицо,получение средств,1560.22,наличный,Гродно,Белинвестбанк-SNUB-407,10-09-2000,23:11:40,успешно,нет,0.0
84234,физ. лицо,получение средств,943.16,наличный,Гродно,Беларусбанк-SOZQ-267,12-06-2020,23:01:03,успешно,нет,0.0
84247,физ. лицо,списание средств,2531.56,наличный,Брест,МаксБанк-KGVH-610,17-09-2020,23:35:07,успешно,нет,0.0
84262,физ. лицо,получение средств,3174.05,наличный,Брест,Белинвестбанк-OTDV-842,05-02-2019,23:00:50,успешно,нет,0.0
84297,юр. лицо,списание средств,3188.06,безналичный,Минск,МаксБанк-LRRR-233,29-12-2018,23:28:49,успешно,да,201.17
84322,юр. лицо,списание средств,4318.75,наличный,Могилев,Приорбанк-FJHC-521,23-02-2019,23:14:38,недостаточно средств,нет,0.0
84399,физ. лицо,списание средств,1728.04,безналичный,Минск,Приорбанк-APXN-444,08-12-2002,23:06:42,неправильный ввод пин-кода,нет,0.0
84446,физ. лицо,получение средств,3642.3,наличный,Могилев,БелАгропромбанк-DRVD-023,01-07-2009,23:06:31,успешно,нет,0.0
84507,юр. лицо,получение средств,3988.25,безналичный,Гомель,БелАгропромбанк-HAIK-520,10-07-2015,23:15:57,успешно,нет,0.0
84605,юр. лицо,получение средств,916.39,наличный,Гомель,Беларусбанк-TLPQ-293,06-09-2001,23:14:48,успешно,нет,0.0
84712,юр. лицо,получение средств,1046.53,безналичный,Брест,Беларусбанк-WSNE-507,25-08-2020,23:08:14,успешно,нет,0.0
84807,физ. лицо,списание средств,2233.51,наличный,Гомель,МаксБанк-VKTJ-171,02-03-2013,23:29:14,успешно,да,216.48
84815,юр. лицо,списание средств,432.52,наличный,Минск,МаксБанк-HUMI-891,20-09-2014,23:30:27,недостаточно средств,нет,0.0
84824,физ. лицо,списание средств,1385.99,безналичный,Гомель,БелАгропромбанк-NYFU-743,20-09-2016,23:51:51,неправильный ввод пин-кода,нет,0.0
84835,физ. лицо,получение средств,1815.76,наличный,Брест,БелАгропромбанк-BOID-471,20-07-2019,23:43:23,успешно,нет,0.0
84866,юр. лицо,списание средств,207.86,безналичный,Брест,Белинвестбанк-NWMO-475,20-08-2005,23:27:32,неправильный ввод пин-кода,да,11.24
84870,юр. лицо,получение средств,4213.27,безналичный,Брест,МаксБанк-AZEP-343,30-10-2021,23:20:51,успешно,нет,0.0
84967,физ. лицо,получение средств,1154.44,безналичный,Брест,МаксБанк-QYEW-886,18-08-2007,23:37:22,успешно,нет,0.0
85067,физ. лицо,списание средств,4989.27,безналичный,Могилев,МаксБанк-CPSA-812,02-05-2024,23:04:27,успешно,нет,0.0
85171,юр. лицо,получение средств,2095.77,наличный,Гомель,Беларусбанк-ZUDR-302,21-03-2003,23:33:29,успешно,нет,0.0
85228,юр. лицо,списание средств,3423.95,наличный,Гомель,Беларусбанк-PPSQ-629,12-11-2023,23:04:46,недостаточно средств,нет,0.0
85247,юр. лицо,списание средств,2262.14,наличный,Гродно,БелАгропромбанк-UZEK-445,24-09-2011,23:50:05,успешно,нет,0.0
85263,юр. лицо,списание средств,689.43,безналичный,Минск,Беларусбанк-YRTH-442,09-06-2016,23:42:21,успешно,нет,0.0
85274,физ. лицо,получение средств,3094.6,безналичный,Витебск,БелАгропромбанк-VLEF-196,22-08-2021,23:56:00,успешно,нет,0.0
85306,физ. лицо,получение средств,1004.54,наличный,Гродно,БелАгропромбанк-EDEO-260,26-06-2009,23:15:16,успешно,нет,0.0
85313,физ. лицо,получение средств,1901.58,безналичный,Витебск,Приорбанк-PZPC-173,12-04-2005,23:00:56,успешно,нет,0.0
85367,физ. лицо,получение средств,4472.13,безналичный,Витебск,Приорбанк-UMZM-236,17-05-2004,23:31:12,успешно,нет,0.0
85388,юр. лицо,получение средств,2975.24,безналичный,Брест,Беларусбанк-STZO-057,30-05-2017,23:49:56,успешно,нет,0.0
85424,юр. лицо,получение средств,2519.4,наличный,Могилев,МаксБанк-RNWT-233,05-12-2016,23:55:58,успешно,нет,0.0
